sno,name,release_year,rating,votes,genres
m0,10 things i hate about you,1999,6.9,62847.0,['comedy' 'romance']
m1,1492: conquest of paradise,1992,6.2,10421.0,['adventure' 'biography' 'drama' 'history']
m2,15 minutes,2001,6.1,25854.0,['action' 'crime' 'drama' 'thriller']
m3,2001: a space odyssey,1968,8.4,163227.0,['adventure' 'mystery' 'sci-fi']
m4,48 hrs.,1982,6.9,22289.0,['action' 'comedy' 'crime' 'drama' 'thriller']
m5,the fifth element,1997,7.5,133756.0,['action' 'adventure' 'romance' 'sci-fi' 'thriller']
m6,8mm,1999,6.3,48212.0,['crime' 'mystery' 'thriller']
m7,a nightmare on elm street 4: the dream master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller']
m8,a nightmare on elm street: the dream child,1989,4.7,11092.0,['fantasy' 'horror' 'thriller']
m9,the atomic submarine,1959,4.9,513.0,['sci-fi' 'thriller']
m10,affliction,1997,6.9,7252.0,['drama' 'mystery' 'thriller']
m11,air force one,1997,6.3,61978.0,['action' 'drama' 'thriller']
m12,airplane ii: the sequel,1982,5.8,15210.0,['comedy' 'romance' 'sci-fi']
m13,airplane!,1980,7.8,57692.0,['comedy' 'romance']
m14,alien nation,1988,6.1,5590.0,['crime' 'drama' 'sci-fi' 'thriller']
m15,aliens,1986,8.5,173518.0,['action' 'sci-fi' 'thriller']
m16,amadeus,1984,8.4,99138.0,['biography' 'drama' 'music']
m17,an american werewolf in london,1981,7.5,24443.0,['horror' 'romance']
m18,american madness,1932,7.4,702.0,['drama']
m19,american outlaws,2001,5.7,7425.0,['action' 'western']
m20,american psycho,2000,7.4,101357.0,['drama' 'thriller']
m21,antitrust,2001,6.0,16453.0,['drama' 'thriller']
m22,austin powers: international man of mystery,1997,7.1,75240.0,['action' 'adventure' 'comedy' 'crime']
m23,the avengers,1998,3.4,21519.0,['action' 'adventure' 'thriller']
m24,bachelor party,1984,5.9,14050.0,['comedy' 'romance']
m25,backdraft,1991,6.6,28541.0,['action' 'crime' 'drama' 'mystery' 'thriller']
m26,bad lieutenant,1992,6.9,13908.0,['crime' 'drama']
m27,bamboozled,2000,6.3,5995.0,['comedy' 'drama' 'music']
m28,barry lyndon,1975,8.1,40622.0,['drama' 'romance' 'war']
m29,basic,2003,6.3,26295.0,['crime' 'drama' 'mystery' 'thriller']
m30,big fish,2003,8.1,144264.0,['adventure' 'drama' 'fantasy']
m31,birthday girl,2001,6.0,13497.0,['comedy' 'crime' 'romance' 'thriller']
m32,black snake moan,2006,7.1,28509.0,['drama']
m33,black rain,1989/I,6.4,16249.0,['action' 'crime' 'drama' 'thriller']
m34,blade runner,1982,8.3,188735.0,['drama' 'sci-fi' 'thriller']
m35,blast from the past,1999,6.4,23489.0,['comedy' 'drama' 'romance']
m36,blue velvet,1986,7.8,54576.0,['crime' 'mystery' 'thriller']
m37,the boondock saints,1999,7.8,87895.0,['action' 'crime' 'drama' 'thriller']
m38,bottle rocket,1996,7.2,22303.0,['comedy' 'crime']
m39,the bourne supremacy,2004,7.6,106349.0,['action' 'adventure' 'mystery' 'thriller']
m40,braveheart,1995,8.4,245652.0,['action' 'biography' 'drama' 'history' 'war']
m41,the butterfly effect,2004,7.8,104917.0,['drama' 'mystery' 'sci-fi' 'thriller']
m42,casablanca,1942,8.8,170874.0,['drama' 'romance' 'war']
m43,cast away,2000,7.5,104477.0,['adventure' 'drama']
m44,the cider house rules,1999,7.5,38836.0,['drama' 'romance']
m45,confidence,2003,6.8,17235.0,['crime' 'thriller']
m46,croupier,1998,7.2,9060.0,['crime' 'drama']
m47,dark star,1974,6.5,8303.0,['comedy' 'sci-fi' 'thriller']
m48,dark angel,1990,5.3,3452.0,['action' 'crime' 'drama' 'horror' 'sci-fi' 'thriller']
m49,detroit rock city,1999,6.5,14666.0,['comedy' 'music']
m50,donnie darko,2001,8.3,215194.0,['drama' 'mystery' 'sci-fi']
m51,drop dead gorgeous,1999,6.3,16417.0,['comedy' 'adult']
m52,duck soup,1933,8.1,27112.0,['comedy' 'musical']
m53,the elephant man,1980,8.4,59625.0,['biography' 'drama' 'history']
m54,erik the viking,1989,5.9,5889.0,['comedy' 'adventure' 'fantasy']
m55,eternal sunshine of the spotless mind,2004,8.5,224838.0,['drama' 'romance' 'sci-fi']
m56,even cowgirls get the blues,1993,4.0,3947.0,['comedy' 'drama' 'romance' 'western']
m57,event horizon,1997,6.4,45497.0,['horror' 'mystery' 'mystery' 'sci-fi' 'sci-fi']
m58,fantastic four,2005,5.7,72581.0,['action' 'adventure' 'fantasy' 'sci-fi' 'fantasy']
m59,fast times at ridgemont high,1982,7.2,31710.0,['comedy' 'drama' 'romance']
m60,fear and loathing in las vegas,1998,7.6,82748.0,['drama' 'fantasy']
m61,feast,2005,6.4,12248.0,['action' 'comedy' 'horror' 'thriller']
m62,frances,1982,7.2,2756.0,['biography' 'drama']
m63,frankenstein,1931,8.0,23522.0,['drama' 'horror' 'sci-fi']
m64,friday the 13th,2009,5.6,27499.0,['horror']
m65,from dusk till dawn,1996,7.1,81559.0,['action' 'crime' 'horror' 'thriller']
m66,g.i. jane,1997,5.6,24068.0,['action' 'drama']
m67,godzilla,1998,4.9,60310.0,['action' 'horror' 'sci-fi' 'thriller']
m68,galaxy quest,1999,7.2,53004.0,['action' 'adventure' 'comedy' 'sci-fi']
m69,george washington,2000,7.5,3142.0,['drama']
m70,get shorty,1995,6.9,33588.0,['comedy' 'crime' 'thriller']
m71,ghost ship,2002,5.3,26413.0,['horror' 'mystery' 'thriller']
